,id,title,artist,album,release date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,owner
31,6ozSdLQYOBh6R2VlRb3t98,Listen,ONE OK ROCK,Ambitions,2017-01-13,219040,48,0.494,0.899,1,-4.492,1,0.0468,0.019,1.39E-05,0.189,0.352,84.006,4,me
32,104buTcnP2AsxqB7U1FIZ4,Heavy (feat. Kiiara),Linkin Park,One More Light,2017-05-19,169801,69,0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,4,me
33,52okn5MNA47tk87PeZJLEL,Let You Down,NF,Perception,2017-10-06,212120,82,0.662,0.714,5,-5.68,0,0.121,0.312,0,0.179,0.464,147.997,4,me
34,1joFnRAR5U4kQb34ubZ7sD,Mia & Sebastian’s Theme,Justin Hurwitz,La La Land (Original Motion Picture Score),2016-12-09,96893,55,0.439,0.187,9,-16.261,1,0.0759,0.976,0.906,0.139,0.179,65.284,4,me
35,2is19a6HY7ZdWP654IMhEE,Break My Heart Again,FINNEAS,Break My Heart Again,2018-02-09,238013,77,0.402,0.151,4,-14.227,0,0.0395,0.907,0,0.0941,0.483,144.293,4,me
36,2VYqkb77OjToeRAnMNd4yU,Misguided Ghosts,Paramore,Brand New Eyes,2009-09-28,181507,56,0.567,0.266,0,-11.217,1,0.0343,0.73,4.91E-05,0.116,0.236,106.46,4,me
37,4OuvOizndKjIjOwTUYB7H5,I'll Take You Home - Live,Banda Neira,Kita Sama-Sama Suka Hujan (Live Konser 2015),2017-09-29,353697,27,0.282,0.217,7,-15.886,1,0.0402,0.958,0.00337,0.684,0.176,122.921,4,me
38,7n7ibkmqKivXKOvlTBaAnS,Growing Up (Rara Sekar),Daramuda,Salam Kenal,2019-02-22,553625,53,0.448,0.127,7,-17.758,1,0.0362,0.953,5.49E-05,0.196,0.0955,102.061,3,me
39,2oq1aKIYED2LFiwgxZIpie,Paper Planes (feat. Kellin),ONE OK ROCK,35xxxv (Deluxe Edition),2015-09-25,200187,39,0.347,0.961,9,-3.842,1,0.325,0.00391,0,0.579,0.148,110.08,4,me
40,1LLXZFeAHK9R4xUramtUKw,London Boy,Taylor Swift,Lover,2019-08-23,190240,70,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,4,me
41,50WeOnXhM1H7AZEeIDoWfZ,Show Yourself,Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2019-11-15,260907,77,0.321,0.429,6,-7.073,1,0.0302,0.724,9.10E-05,0.0606,0.174,123.419,4,me
42,5Sbf1ONFdUHbb88m9VUqDN,Cry Out,ONE OK ROCK,35xxxv (Deluxe Edition),2015-09-25,227933,51,0.334,0.941,5,-4.406,1,0.111,0.00154,0,0.151,0.282,168.032,4,me
